Adresse,Date Debut,Description,Heure Debut,Titre,Titre + Description
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/02/2022,Initiation à l'électronique avec la technologie Makey makey à partir de 6 ans,1899-12-30 15:00:00,Ateliers : Makey Makey,Ateliers : Makey Makey --- Initiation à l'électronique avec la technologie Makey makey à partir de 6 ans
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/02/2022,"S'initier à l'utilisation des machines du minilab du Temps des Cerises, sur inscription",1899-12-30 14:30:00,Mini Lab: Découpe et gravure laser,"Mini Lab: Découpe et gravure laser --- S'initier à l'utilisation des machines du minilab du Temps des Cerises, sur inscription"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/02/2022,"S'initier à l'utilisation des machines du minilab du Temps des Cerises, sur inscription",1899-12-30 16:30:00,Mini Lab: Découpe et gravure laser,"Mini Lab: Découpe et gravure laser --- S'initier à l'utilisation des machines du minilab du Temps des Cerises, sur inscription"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/03/2018,"Exposition de livres pop-up, dans le cadre du festival MARTO!",1899-12-30 14:00:00,Exposition « Ça fait pop ! L’univers du livre animé »,"Exposition « Ça fait pop ! L’univers du livre animé » --- Exposition de livres pop-up, dans le cadre du festival MARTO!"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/03/2021,Festival du jeux vidéo indépendant,1899-12-30 13:00:00,Festival Indie Game Nation,Festival Indie Game Nation --- Festival du jeux vidéo indépendant
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/04/2018,"Le Temps des Cerises vous propose avec l’association ReflexePhoto, une projection autobiographique du photographe Alexandre Deschaumes “La Quête d’Inspiration».",1899-12-30 20:00:00,"Projection ""En quête d'inspiration""","Projection ""En quête d'inspiration"" --- Le Temps des Cerises vous propose avec l’association ReflexePhoto, une projection autobiographique du photographe Alexandre Deschaumes “La Quête d’Inspiration»."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/04/2021,Concours de photos de cerf-volant,1899-12-30 14:00:00,"Concours ""A la conquête du ciel !""","Concours ""A la conquête du ciel !"" --- Concours de photos de cerf-volant"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/04/2024,Création d'un diorama (décor miniature) illustrant un kamishibaï.,1899-12-30 15:00:00,Diorama kamishibaï,Diorama kamishibaï --- Création d'un diorama (décor miniature) illustrant un kamishibaï.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/04/2024,"Un temps pour réparer, construire et créer du lien !",1899-12-30 14:30:00,Minilab : Temps des bricolos Construction,"Minilab : Temps des bricolos Construction --- Un temps pour réparer, construire et créer du lien !"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/06/2021,"S'initier à l'impression sur textile dans le minilab du Temps des Cerises, sur inscription",1899-12-30 16:30:00,Mini Lab : Flocage et impression sur textile,"Mini Lab : Flocage et impression sur textile --- S'initier à l'impression sur textile dans le minilab du Temps des Cerises, sur inscription"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/06/2023,Cette exposition proposée par Instant Science permet de comprendre le fonctionnement et le concept de FabLab.,1899-12-30 14:00:00,"Exposition ""Faites-le vous même au FabLab""","Exposition ""Faites-le vous même au FabLab"" --- Cette exposition proposée par Instant Science permet de comprendre le fonctionnement et le concept de FabLab."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/09/2023,Journée d'inscriptions aux ateliers hebdomadaires,1899-12-30 10:00:00,Inscriptions aux ateliers 2023-2024,Inscriptions aux ateliers 2023-2024 --- Journée d'inscriptions aux ateliers hebdomadaires
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/10/2017,Destiné aux scolaires !,1899-12-30 09:00:00,RENCONTRE AVEC GEOFFROY DE PENNART,RENCONTRE AVEC GEOFFROY DE PENNART --- Destiné aux scolaires !
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/10/2018,"Séance de lecture pour les enfants à partir de 3 ans accompagnés d'un adulte, trente minutes de découvertes d’albums illustrés, un moment de lecture en famille avec l'association Lire et Faire lire.",1899-12-30 11:00:00,Plaisir de lire - Les mangas,"Plaisir de lire - Les mangas --- Séance de lecture pour les enfants à partir de 3 ans accompagnés d'un adulte, trente minutes de découvertes d’albums illustrés, un moment de lecture en famille avec l'association Lire et Faire lire."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/10/2019,Cet atelier propose des recettes à cuisiner tout en s’amusant en famille autour de la marmite. Pour les enfants à partir de 5 ans accompagnés d’un adulte.,1899-12-30 14:00:00,Petits et grands cuistots spécial Fantasy,Petits et grands cuistots spécial Fantasy --- Cet atelier propose des recettes à cuisiner tout en s’amusant en famille autour de la marmite. Pour les enfants à partir de 5 ans accompagnés d’un adulte.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/10/2019,Spectacle pour enfant à partir de 4 ans,1899-12-30 10:00:00,Spectacle pour enfants : Ô clair de la nuit,Spectacle pour enfants : Ô clair de la nuit --- Spectacle pour enfant à partir de 4 ans
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/10/2021,Présentation d'oeuvres de la Renaissance puis atelier d'arts plastiques. Pour les 6-10 ans (enfant accompagné),1899-12-30 14:00:00,"Atelier ""A l'art découverte"" - La peinture de la Renaissance.","Atelier ""A l'art découverte"" - La peinture de la Renaissance. --- Présentation d'oeuvres de la Renaissance puis atelier d'arts plastiques. Pour les 6-10 ans (enfant accompagné)"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/11/2016,Prix du jury pour un long métrage au festival international du film d'animation d'Annecy 2015.,1899-12-30 17:00:00,"Projection Manga - ""Miss Hokusai"" de Keiichi Hara - 2015","Projection Manga - ""Miss Hokusai"" de Keiichi Hara - 2015 --- Prix du jury pour un long métrage au festival international du film d'animation d'Annecy 2015."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/12/2023,"En partenariat avec la Petite Bibliothèque
Ronde",1899-12-30 10:00:00,Marathon kamishibai,"Marathon kamishibai --- En partenariat avec la Petite Bibliothèque
Ronde"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",06/12/2023,Le Musée Numérique présente son atelier,1899-12-30 15:00:00,À l'art découverte,À l'art découverte --- Le Musée Numérique présente son atelier
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/01/2022,Dans le cadre du festival des Contes en Balade. Tout public.,1899-12-30 14:00:00,Exposition : DE LA BOUCHE DU CONTEUR AUX MAINS DU LECTEUR. Avec les Éditions Didier Jeunesse,Exposition : DE LA BOUCHE DU CONTEUR AUX MAINS DU LECTEUR. Avec les Éditions Didier Jeunesse --- Dans le cadre du festival des Contes en Balade. Tout public.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/01/2023,"Séance contée d’histoires et récits du dieu des enfers, d'étranges créatures, de Yōkai et mythes de fantômes errants et vengeurs...",1899-12-30 15:00:00,"Séance contée ""Frissons !""","Séance contée ""Frissons !"" --- Séance contée d’histoires et récits du dieu des enfers, d'étranges créatures, de Yōkai et mythes de fantômes errants et vengeurs..."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/02/2021,"Une plongée dans l'infini de l'espace et son histoire, racontée et illustrée en direct par Guillaume Monnain, médiateur scientifique (Akenium) et Héloïse Chochois, auteure et illustratrice.",1899-12-30 15:00:00,La Science se livre | Live : Une petite histoire de l'Univers,"La Science se livre | Live : Une petite histoire de l'Univers --- Une plongée dans l'infini de l'espace et son histoire, racontée et illustrée en direct par Guillaume Monnain, médiateur scientifique (Akenium) et Héloïse Chochois, auteure et illustratrice."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/02/2024,Découvrez et expérimentez un courant artistique,1899-12-30 15:00:00,Atelier : À l'art découverte,Atelier : À l'art découverte --- Découvrez et expérimentez un courant artistique
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/02/2024,Le rendez-vous contes et comptines des tout-petits !,1899-12-30 09:30:00,Les Marmottines,Les Marmottines --- Le rendez-vous contes et comptines des tout-petits !
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/03/2023,"Une exposition sur l'illustrateur et plasticien Christian Voltz, qui détourne des objets de récupération. Découvrez en famille son univers poétique et engagé !",1899-12-30 14:00:00,De bric et d'broc : exposition,"De bric et d'broc : exposition --- Une exposition sur l'illustrateur et plasticien Christian Voltz, qui détourne des objets de récupération. Découvrez en famille son univers poétique et engagé !"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/03/2024,"Dans le cadre du festival MARTO, des lectures sensorielles pour petites oreilles, à la rencontre de la nuit et des rêves.",1899-12-30 10:00:00,"La nuit, je rêve...","La nuit, je rêve... --- Dans le cadre du festival MARTO, des lectures sensorielles pour petites oreilles, à la rencontre de la nuit et des rêves."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/04/2018,atelier,1899-12-30 14:00:00,Petits et grands cuistots,Petits et grands cuistots --- Atelier
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/04/2018,Séance de lecture proposée par l’association Lire et Faire lire dans le cadre d’un partenariat entre cette association cofondée par Alexandre Jardin et Le Temps des Cerises.,1899-12-30 14:00:00,"Plaisir de lire avec ""lire et faire lire.""","Plaisir de lire avec ""lire et faire lire."" --- Séance de lecture proposée par l’association Lire et Faire lire dans le cadre d’un partenariat entre cette association cofondée par Alexandre Jardin et Le Temps des Cerises."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/04/2022,Les jeux vidéo : quelles origines ? Quels métiers ? Quelles inspirations ?,1899-12-30 14:00:00,"Les jeux vidéo, l'exposition","Les jeux vidéo, l'exposition --- Les jeux vidéo : quelles origines ? Quels métiers ? Quelles inspirations ?"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/06/2020,"Durant 3 heures, un intervenant vous apprendra à vous servir plus en profondeur des machines du Minilab.",1899-12-30 14:00:00,FORMATIONS OPENLAB (Logiciels),"FORMATIONS OPENLAB (Logiciels) --- Durant 3 heures, un intervenant vous apprendra à vous servir plus en profondeur des machines du Minilab."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/06/2022,Des figures féminines qui bousculent le monde numérique,1899-12-30 14:00:00,"Portraits ""Women in Numérique""","Portraits ""Women in Numérique"" --- Des figures féminines qui bousculent le monde numérique"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/06/2023,Atelier ludique et collaboratif de sensibilisation sur le numérique Pour les 14/17 ans.,1899-12-30 15:30:00,Fresque Junior du numérique,Fresque Junior du numérique --- Atelier ludique et collaboratif de sensibilisation sur le numérique Pour les 14/17 ans.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/07/2020,Le stage permettra aux participants de monter et de calibrer une imprimante 3D avant de s’initier à la modélisation 3D ! Chaque participant repartira avec sa création.,1899-12-30 10:00:00,Stage de découverte de l'impression 3D,Stage de découverte de l'impression 3D --- Le stage permettra aux participants de monter et de calibrer une imprimante 3D avant de s’initier à la modélisation 3D ! Chaque participant repartira avec sa création.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/09/2022,Découvrez des artistes avant de s'essayer à reproduire leurs univers colorés,1899-12-30 10:00:00,"Atelier Parents-Enfants ""A l'art découverte""","Atelier Parents-Enfants ""A l'art découverte"" --- Découvrez des artistes avant de s'essayer à reproduire leurs univers colorés"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/09/2022,Pour les enfants de 8 à 11 ans désireux de découvrir le japonais à travers le manga !,1899-12-30 10:00:00,Atelier d'initiation au Japonais par le manga,Atelier d'initiation au Japonais par le manga --- Pour les enfants de 8 à 11 ans désireux de découvrir le japonais à travers le manga !
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/10/2016,D'Issy et vers l'au-delà ! Embarquez pour un voyage d'une heure avec votre imagination pour seul bagage.,1899-12-30 11:00:00,Cabaret d'impro science-fiction,Cabaret d'impro science-fiction --- D'Issy et vers l'au-delà ! Embarquez pour un voyage d'une heure avec votre imagination pour seul bagage.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/10/2017,« Mystère loup » dans la forêt des loups.,1899-12-30 10:00:00,JEU DE PISTE LITTÉRAIRE SUR LE THÈME DU LOUP,JEU DE PISTE LITTÉRAIRE SUR LE THÈME DU LOUP --- « Mystère loup » dans la forêt des loups.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/10/2017,Peurs sur la ville,1899-12-30 14:00:00,RÉALITÉ VIRTUELLE SPÉCIALE « ZOMBIE »,RÉALITÉ VIRTUELLE SPÉCIALE « ZOMBIE » --- Peurs sur la ville
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/10/2017,"Séance de lecture sur ""Les peurs""",1899-12-30 11:00:00,"Plaisir de lire avec ""Lire et faire lire""","PLAISIR DE LIRE avec ""Lire et faire lire"" --- Séance de lecture sur ""Les peurs"""
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/10/2023,Atelier sur la programmation d'une petite carte numérique,1899-12-30 14:30:00,Atelier Micro:Bit : Code et expérimente !,Atelier Micro:Bit : Code et expérimente ! --- Atelier sur la programmation d'une petite carte numérique
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/10/2023,"Avec Anaïs Vaugelade, illustratrice, autrice et éditrice de littérature de jeunesse",1899-12-30 15:00:00,"Atelier ""Courir comment?""","Atelier ""Courir comment?"" --- Avec Anaïs Vaugelade, illustratrice, autrice et éditrice de littérature de jeunesse"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/10/2023,Des lectures pour les plus jeunes,1899-12-30 10:30:00,Plaisirs de Lire,Plaisirs de Lire --- Des lectures pour les plus jeunes
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/10/2023,"Rencontre - dédicace avec Anaïs Vaugelade, illustratrice, autrice et éditrice de littérature de jeunesse",1899-12-30 17:00:00,Séance de dédicaces avec Anaïs Vaugelade,"Séance de dédicaces avec Anaïs Vaugelade --- Rencontre - dédicace avec Anaïs Vaugelade, illustratrice, autrice et éditrice de littérature de jeunesse"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/11/2017,D'après l'album de Davide Cali et Serge Bloch,1899-12-30 14:00:00,« MOI J’ATTENDS… » - EXPOSITION AUTOUR DU LIVRE DE DAVIDE CALI ET SERGE BLOCH.,« MOI J’ATTENDS… » - EXPOSITION AUTOUR DU LIVRE DE DAVIDE CALI ET SERGE BLOCH. --- D'après l'album de Davide Cali et Serge Bloch
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/11/2020,"Le Temps des Cerises accueille le groupe isséen Yerek fruit d'une collaboration entre Vessem, Mikaël, Nils et Jules !",1899-12-30 17:30:00,Annulé | Concert : Yerek,"Annulé | Concert : Yerek --- Le Temps des Cerises accueille le groupe isséen Yerek fruit d'une collaboration entre Vessem, Mikaël, Nils et Jules !"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/11/2020,"Mon petit baz'art, pour partir à la découverte d'un univers d'auteur-illustrateur, expérimenter et créer en famille.",1899-12-30 15:00:00,Annulé | Mon petit baz'art,"Annulé | Mon petit baz'art --- Mon petit baz'art, pour partir à la découverte d'un univers d'auteur-illustrateur, expérimenter et créer en famille."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",07/12/2019,Un atelier créatif textile pour parents-enfants.,1899-12-30 10:30:00,Brin de cousette pour petite bobine,Brin de cousette pour petite bobine --- Un atelier créatif textile pour parents-enfants.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/01/2019,"Exposition de reproductions de travaux à l'encre, images d'images au statut incertain, récit de notre rapport au monde. Entrée libre",1899-12-30 14:00:00,"Exposition : ""Alter Ego"" par Emmanuel Le Moan","Exposition : ""Alter Ego"" par Emmanuel Le Moan --- Exposition de reproductions de travaux à l'encre, images d'images au statut incertain, récit de notre rapport au monde. Entrée libre"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/01/2023,"Du langage HTML aux cartes électroniques, découvrez toutes les fonctionnalités de ces outils accessibles dès le plus jeune âge !",1899-12-30 14:30:00,Arduino - Mini cartes électronique 11-15,"Arduino - Mini cartes électronique 11-15 --- Du langage HTML aux cartes électroniques, découvrez toutes les fonctionnalités de ces outils accessibles dès le plus jeune âge !"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/02/2020,"Atelier scientifique sur les microbes, en partenariat avec l'INSERM",1899-12-30 14:00:00,Atelier : Comment étudier les microbes?,"Atelier : Comment étudier les microbes? --- Atelier scientifique sur les microbes, en partenariat avec l'INSERM"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/02/2024,"Un jeudi soir, à l'heure de l'apéro, venez découvrir les différentes ressources du Minilab !",1899-12-30 19:00:00,Minilab : Apéro'Lab,"Minilab : Apéro'Lab --- Un jeudi soir, à l'heure de l'apéro, venez découvrir les différentes ressources du Minilab !"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/02/2024,Une soirée conviviale pour découvrir les jeux vidéos et s'initier au e-sport,1899-12-30 19:00:00,Soirée e-Sport,Soirée e-Sport --- Une soirée conviviale pour découvrir les jeux vidéos et s'initier au e-sport
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/03/2020,"Dans le cadre du Festival MARTO!, un spectacle de marionnettes et objets, tournés vers l'imaginaire.",1899-12-30 10:00:00,Jeu - Cie A kan la Dériv',"Jeu - Cie A kan la Dériv' --- Dans le cadre du Festival MARTO!, un spectacle de marionnettes et objets, tournés vers l'imaginaire."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/03/2020,"Durant 3 heures, un intervenant vous apprendra à vous servir plus en profondeur des machines du Minilab.",1899-12-30 14:00:00,FORMATIONS OPENLAB (Logiciels),"FORMATIONS OPENLAB (Logiciels) --- Durant 3 heures, un intervenant vous apprendra à vous servir plus en profondeur des machines du Minilab."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/03/2022,Expositions en photos et en objets de la nouvelle programmation MARTO.,1899-12-30 14:00:00,Exposition : Jeux d'objets,Exposition : Jeux d'objets --- Expositions en photos et en objets de la nouvelle programmation MARTO.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/04/2018,En lien avec le spectacle Lalunelanuit de la Cie L’air de dire.,1899-12-30 14:30:00,"Atelier ""Fabrication de livres en tissus""","Atelier ""Fabrication de livres en tissus"" --- En lien avec le spectacle Lalunelanuit de la Cie L’air de dire."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/04/2018,Jeu de rôle,1899-12-30 10:00:00,"Jeu de rôle ""Le donjon de Naheulbeuk""","Jeu de rôle ""Le donjon de Naheulbeuk"" --- Jeu de rôle"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/04/2023,"En partenariat avec l’Institut du monde arabe (IMA), membre fondateur des Micro-Folies.",1899-12-30 14:30:00,"Atelier ""Construis ton musée""","Atelier ""Construis ton musée"" --- En partenariat avec l’Institut du monde arabe (IMA), membre fondateur des Micro-Folies."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/04/2023,Séance de lecture par l'association Lire et Faire Lire,1899-12-30 10:30:00,Plaisir de Lire,Plaisir de Lire --- Séance de lecture par l'association Lire et Faire Lire
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/04/2024,La Halle des Épinettes organise un stage d’initiation au cinéma d’animation au début des vacances de printemps.,1899-12-30 09:30:00,Stage culturel : cinéma d'animation pour les 8/11 ans,Stage culturel : cinéma d'animation pour les 8/11 ans --- La Halle des Épinettes organise un stage d’initiation au cinéma d’animation au début des vacances de printemps.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/04/2024,Venez découvrir les machines du Minilab en réalisant des gravures et estampes.,1899-12-30 10:00:00,"Stage numérique : ""Openlab"" Gravures & Estampes 11-15 ans","Stage numérique : ""Openlab"" Gravures & Estampes 11-15 ans --- Venez découvrir les machines du Minilab en réalisant des gravures et estampes."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/06/2023,Atelier ludique et collaboratif de sensibilisation sur le numérique,1899-12-30 19:00:00,Fresque du numérique,Fresque du numérique --- Atelier ludique et collaboratif de sensibilisation sur le numérique
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/07/2020,Le Temps des Cerises vous propose ses Folies cet été !,1899-12-30 14:00:00,"Les ""Folies"" de l'été au Temps des Cerises","Les ""Folies"" de l'été au Temps des Cerises --- Le Temps des Cerises vous propose ses Folies cet été !"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/10/2016,Cet atelier propose des recettes à cuisiner tout en s'amusant en famille autour de la marmite.,1899-12-30 14:00:00,"Atelier: ""Petits et grands cuistots""","Atelier: ""Petits et grands cuistots"" --- Cet atelier propose des recettes à cuisiner tout en s'amusant en famille autour de la marmite."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/10/2016,"L'opération ""Je lis la science"" est lancée à l'occasion de la Fête de la Science, dans le cadre d'un partenariat avec la bibliothèque de la Cité des Sciences et de l'Industrie.",1899-12-30 11:00:00,"Plaisir de lire avec ""Lire et faire lire""- ""Je lis la science""","Plaisir de lire avec ""Lire et faire lire""- ""Je lis la science"" --- L'opération ""Je lis la science"" est lancée à l'occasion de la Fête de la Science, dans le cadre d'un partenariat avec la bibliothèque de la Cité des Sciences et de l'Industrie."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/10/2017,de la Cie Bac à sable,1899-12-30 15:30:00,MARIONNETTES – « LE TRESOR D’ALCABADA »,MARIONNETTES – « LE TRESOR D’ALCABADA » --- de la Cie Bac à sable
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/10/2022,Un temps pour réparer et créer du lien ! Amenez un petit objet et nos intervenants pourront vous donner des conseils et tenteront de réparer avec vous vos appareils électroniques ou informatiques.,1899-12-30 14:30:00,Le temps des bricolos !,Le temps des bricolos ! --- Un temps pour réparer et créer du lien ! Amenez un petit objet et nos intervenants pourront vous donner des conseils et tenteront de réparer avec vous vos appareils électroniques ou informatiques.
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/11/2016,"Conçue comme un ensemble d'espaces de jeu et de lecture, l'exposition invite les enfants, professionnels de la petite enfance, parents et éducateurs à partager le plaisir des livres et de la lecture.",1899-12-30 14:00:00,"Exposition: ""Le livre c'est bon pour les bébés""","Exposition: ""Le livre c'est bon pour les bébés"" --- Conçue comme un ensemble d'espaces de jeu et de lecture, l'exposition invite les enfants, professionnels de la petite enfance, parents et éducateurs à partager le plaisir des livres et de la lecture."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/11/2017,Numérique,1899-12-30 14:00:00,JEU DE PLATEFORME / AVENTURE,JEU DE PLATEFORME / AVENTURE --- Numérique
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/11/2019,"Conférence : La nuit, tous les chats ne sont pas gris, par Patrice Huerre",1899-12-30 18:00:00,Soirée d’ouverture des 18èmes Semaines Isséennes des Droits de l’Enfant,"Soirée d’ouverture des 18èmes Semaines Isséennes des Droits de l’Enfant --- Conférence : La nuit, tous les chats ne sont pas gris, par Patrice Huerre"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/11/2020,"Une plongée dans l’univers du conte africain et de la danse, rythmé en direct. Un spectacle haut en couleur !",1899-12-30 10:30:00,Annulé | Spectacle : Le cri de la girafe - Théâtre-danse et musique live interprété par Chrysogone Diangouaya et Xavier Sauvage,"Annulé | Spectacle : Le cri de la girafe - Théâtre-danse et musique live interprété par Chrysogone Diangouaya et Xavier Sauvage --- Une plongée dans l’univers du conte africain et de la danse, rythmé en direct. Un spectacle haut en couleur !"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/11/2022,"Sur le temps de la pause déjeuner, venez vous initier à différentes machines du Minilab !",1899-12-30 12:00:00,Midi'Lab - Initiation à la découpe et gravure laser,"Midi'Lab - Initiation à la découpe et gravure laser --- Sur le temps de la pause déjeuner, venez vous initier à différentes machines du Minilab !"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/11/2023,Le Musée Numérique présente son atelier,1899-12-30 15:00:00,À l'art découverte,À l'art découverte --- Le Musée Numérique présente son atelier
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/12/2016,"Tous les 2èmes jeudis du mois, un afterwork vous est proposé pour vous détendre après votre journée de travail et discuter entre collègues, voisins ou amis.",1899-12-30 19:30:00,"Rendez-vous ""Après le bureau""","Rendez-vous ""Après le bureau"" --- Tous les 2èmes jeudis du mois, un afterwork vous est proposé pour vous détendre après votre journée de travail et discuter entre collègues, voisins ou amis."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/12/2017,Vernissage de l'exposition de photographies,1899-12-30 19:30:00,"VERNISSAGE « NEW YORK, ENTRE RÊVES ET REFLETS » - Photographies - par Twoodje","VERNISSAGE « NEW YORK, ENTRE RÊVES ET REFLETS » - Photographies - par Twoodje --- Vernissage de l'exposition de photographies"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/12/2018,"Séance de lecture pour les enfants à partir de 3 ans accompagnés d'un adlute, une heure de découvertes d’albums illustrés, un moment de lecture en famille avec l'association Lire et Faire lire.",1899-12-30 11:00:00,Plaisir de lire - Les auteurs japonais,"Plaisir de lire - Les auteurs japonais --- Séance de lecture pour les enfants à partir de 3 ans accompagnés d'un adlute, une heure de découvertes d’albums illustrés, un moment de lecture en famille avec l'association Lire et Faire lire."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",08/12/2019,"ses portes et laisse libre court à votre imagination, tout en vous initiant à l’utilisation de machines innovantes.",1899-12-30 14:00:00,Les ateliers du Minilab,"Les ateliers du Minilab --- ses portes et laisse libre court à votre imagination, tout en vous initiant à l’utilisation de machines innovantes."
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",09/01/2018,"De Nadine Naous (2014), 60 mn",1899-12-30 20:00:00,"CINÉ DOC’ ""Home sweet home""","CINÉ DOC’ ""Home sweet home"" --- De Nadine Naous (2014), 60 mn"
"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France",09/01/2018,Œuvres minérales et cellulaires,1899-12-30 14:00:00,« PIERRE CONTRE NATURE » - EXPOSITION DE MARION CATUSSE,« PIERRE CONTRE NATURE » - EXPOSITION DE MARION CATUSSE --- Œuvres minérales et cellulaires
